Date,Close
2021-09-27 00:00:00-04:00,282.3229675292969
2021-09-28 00:00:00-04:00,272.1018981933594
2021-09-29 00:00:00-04:00,272.56256103515625
2021-09-30 00:00:00-04:00,270.5663757324219
2021-10-01 00:00:00-04:00,277.4571838378906
2021-10-04 00:00:00-04:00,271.70831298828125
2021-10-05 00:00:00-04:00,277.1308898925781
2021-10-06 00:00:00-04:00,281.30560302734375
2021-10-07 00:00:00-04:00,282.9756164550781
2021-10-08 00:00:00-04:00,282.9756164550781
2021-10-11 00:00:00-04:00,282.3805847167969
2021-10-12 00:00:00-04:00,281.0849304199219
2021-10-13 00:00:00-04:00,284.3768005371094
2021-10-14 00:00:00-04:00,290.55743408203125
2021-10-15 00:00:00-04:00,291.9585876464844
2021-10-18 00:00:00-04:00,294.9145812988281
2021-10-19 00:00:00-04:00,295.8168029785156
2021-10-20 00:00:00-04:00,295.0297546386719
2021-10-21 00:00:00-04:00,298.244873046875
2021-10-22 00:00:00-04:00,296.70928955078125
2021-10-25 00:00:00-04:00,295.7206726074219
2021-10-26 00:00:00-04:00,297.6209411621094
2021-10-27 00:00:00-04:00,310.1550598144531
2021-10-28 00:00:00-04:00,311.2874450683594
2021-10-29 00:00:00-04:00,318.2647399902344
2021-11-01 00:00:00-04:00,316.1053771972656
2021-11-02 00:00:00-04:00,319.7138977050781
2021-11-03 00:00:00-04:00,320.5489807128906
2021-11-04 00:00:00-04:00,322.8906555175781
2021-11-05 00:00:00-04:00,322.5259704589844
2021-11-08 00:00:00-05:00,323.4184875488281
2021-11-09 00:00:00-05:00,322.4204406738281
2021-11-10 00:00:00-05:00,317.47784423828125
2021-11-11 00:00:00-05:00,319.0421447753906
2021-11-12 00:00:00-05:00,323.1594543457031
2021-11-15 00:00:00-05:00,322.5354919433594
2021-11-16 00:00:00-05:00,325.83697509765625
2021-11-17 00:00:00-05:00,326.05816650390625
2021-11-18 00:00:00-05:00,328.1253662109375
2021-11-19 00:00:00-05:00,329.8945007324219
2021-11-22 00:00:00-05:00,326.74078369140625
2021-11-23 00:00:00-05:00,324.6735534667969
2021-11-24 00:00:00-05:00,324.8947448730469
2021-11-26 00:00:00-05:00,316.9817810058594
2021-11-29 00:00:00-05:00,323.6640319824219
2021-11-30 00:00:00-05:00,317.8566589355469
2021-12-01 00:00:00-05:00,317.36639404296875
2021-12-02 00:00:00-05:00,316.79901123046875
2021-12-03 00:00:00-05:00,310.5686340332031
2021-12-06 00:00:00-05:00,313.6261901855469
2021-12-07 00:00:00-05:00,322.0199279785156
2021-12-08 00:00:00-05:00,322.0679626464844
2021-12-09 00:00:00-05:00,320.2699890136719
2021-12-10 00:00:00-05:00,329.3464660644531
2021-12-13 00:00:00-05:00,326.3273620605469
2021-12-14 00:00:00-05:00,315.693359375
2021-12-15 00:00:00-05:00,321.76031494140625
2021-12-16 00:00:00-05:00,312.3858337402344
2021-12-17 00:00:00-05:00,311.3282470703125
2021-12-20 00:00:00-05:00,307.58807373046875
2021-12-21 00:00:00-05:00,314.683837890625
2021-12-22 00:00:00-05:00,320.36614990234375
2021-12-23 00:00:00-05:00,321.7987976074219
